연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,,절도,
38,절도를 저질렀다. 1,다른 사람의 물건을 훔쳤다.,,"(상점, 물건)",-
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
,,은행에서 다른 사람의 돈을 훔쳤다.,,절도,
39,절도를 저질렀다. 2,,,"(ATM, 돈)","은행,"
,,,그림,,
,,,,절도,
40,절도를 저질렀다. 3,다른 사람의 물건을 훔쳐 차에 실었다.,,(차량 이용),"차, 물건"
,,,그림,,
,,카페에서 다른 사람의 휴대폰을 훔쳤다.,,절도,
41,절도를 저질렀다. 4,,,(휴대폰),카페
,,,그림,,
,,카페에서 다른 사람의 노트북을 훔쳤다.,,절도,
42,절도를 저질렀다. 5,,,(노트북),카페
,,,그림,,
,야간에 창문을 손괴하고 타인의 주거지에 침입하여 돈을 훔쳤다.,밤에 유리창을 깨고 다른 사람의 집에 몰래 들어가 물건을 훔쳤다.,,특수절도 (야간손괴 후 침입절도),"침입, 야간, 유리창, 귀중품"
43,,,,,
,,,그림,,
,흉기를 소지하고 물건을 훔쳤다.,흉기를 가지고 다른 사람의 물건을 훔쳤다.,,특수절도 (흉기휴대 절도),
44,,,,,"흉기, 물건"
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
,피고인들은 합동하여 절도하였다.,,,특수절도,"공동, 협력, 물건"
45,,둘이 함께 물건을 훔쳤다.,,(합동절도),
,,,그림,,
,흉기를 이용하여 협박하고 돈을 빼앗았다.,,,,"흉기, 칼, 금전"
46,,칼로 겁을 주며 돈을 빼앗았다.,,특수강도,
,,,그림,,
,,,,,
47,물건을 손괴하였다.,물건을 일부러 망가뜨렸다.,,재물손괴,물건
,,,그림,,
,방화를 고의로 저지른 사실이 인정된다.,,,,
48,,건물에 일부러 불을 질렀다.,,방화죄,"불, 고의"
,,,그림,,
,주거에 무단으로 침입한 사실이 인정된다.1,,,,"집, 무단, 허락"
49,,집에 허락없이 들어갔다.,,주거침입 1,
,,,그림,,
,주거에 무단으로 침입한 사실이 인정된다.2,집에 들어가겠다고 계속 문을 두드리고 벨을 눌렀다.,,,"집, 무단,"
50,,,,주거침입 2,"초인종, 문, 소음, 벨"
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
,주거에 무단으로 침입한 사실이 인정된다.3,몰래 뒤따라 가다 집까지 따라 들어갔다.,,,"집, 무단, 스토킹"
51,,,,주거침입 3,
,,,그림,,
,주거에 무단으로 침입한 사실이 인정된다.4,층간소음으로 힘들다며 집에 허락없이 들어왔다.,,,"집, 무단, 허락, 층간소음"
52,,,,주거침입 4,
,,,그림,,
,주거에 무단으로 침입한 사실이 인정된다.5,,,,
53,,베란다를 통해 몰래 들어갔다.,,주거침입 5,"집, 무단, 베란다"
,,,그림,,
,신체적 상해를 입힌 사실이 인정된다.,,,,
54,,때려서 다치게 했다.,,상해,"신체, 폭행"
,,,그림,,
,신체적 해를 가하겠다고 위협한 사실이 인정된다.,죽이겠다고 말하여 겁을 주었다.,,,"신체, 위협, 겁"
55,,,,협박 1,
,,,그림,,
,신체적 해를 가하겠다고 위협한 사실이 인정된다.,때리겠다고 말하여 겁을 주었다.,,,"신체, 위협, 겁, 폭행"
56,,,,협박 2,
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
,개인적인 정보를 인터넷에 공개하겠다고 위협한 사실이 인정된다.,인터넷에 글을 올리겠다고 하여 겁을 주었다.,,,"정보, 인터넷, 공개, 겁"
57,,,,협박 3,
,,,그림,,
,신체적 접촉을 강제로 시도한 사실이 인정된다.,상대가 싫다고 하는데 억지로 몸을 만지는 등 성적 행위를 강제로 하였다.,,,"신체, 접촉, 몸"
58,,,,강제추행,
,피해자에게 폭력을 사용하거나 위협하여 강제로 성관계를 가졌다.,,그림,,
59,,때리고 겁을 주며 억지로 성적 행위를 했다.,,강간,"폭력, 위협, 강제, 성관계"
,,,그림,,
,,피해자가 장애로 인해 피할 수 없는 상태에서 억지로 성적 행위를 했다.,,,"장애, 강제, 성관계"
60,준강간,,,준강간,
,,,그림,,
,,,,,
61,보이스피싱 사기,전화로 거짓말을 해서 돈을 빼앗았다.,,보이스피싱,"금전, 전화, 거짓말"
,,,그림,,
,,,,,
62,횡령죄,자신이 관리하는 공금(돈)을 몰래 빼돌렸다.,,횡령죄,"불법, 공금"
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
,피해자에게 폭력을 사용하거나 위협하여 재산을 강탈한 사실이 인정된다.,때리고 겁을 주면서 돈을 빼앗았다.,,,"폭력, 위협, 돈"
63,,,,강도죄,
,,,그림,,
,피해자를 발로 밟아 신체적 상해를 입힌 사실이 인정된다.,,,,
64,,피해자를 발로 밟고 때렸다.,,폭행(발),"폭령, 상해"
,,,그림,,
,피해자에게 음료수를 뿌려 폭행하였다.,,,,
65,,음료를 뿌렸다.,,폭행(음료),"폭력, 상해"
,,,그림,,
,피해자에게 큰 소리로 욕설을 하여 폭행하였다.,,,,"욕설, 정신적, 고통"
66,,욕을 했다.,,폭행(욕),
,,,그림,,
,,,,스토킹,
67,스토킹(사진 촬영),상대방을 따라다니며 사진을 찍었다.,,(사진 촬영),사생활
,피해자가 원하지 않음에도 불구하고 지속적으로 따라다니며 괴롭힌 사실이 인정된다.,,그림,,
,,상대방이 싫다고 하는데도 계속 따라다녔다.,,스토킹,
68,,,,(따라다님),괴롭힘
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,피해자가 원하지 않음에도 불구하고 반복적으로 연락을 시도하여 괴롭힌 사실이 인정된다.,,그림,,
,,,,스토킹,
69,,상대방이 싫다고 하는데도 계속 연락했다.,,(연락),"전화, 문자"
,"피해자의 동의 없이 성적인 행위를 촬영하고, 해당 영상을 인터넷에 게시한 사실이 인정된다.",,그림,,
,,억지로 성적인 행위를 촬영해서 인터넷에 올렸다.,,,"영상, 촬영, 인터넷 업로드"
70,,,,성착취,
,,,그림,,
71,피해자에게 강제로 성적인 행동을 한 사실이 인정된다.,억지로 성관계를 맺었다.,,성폭력,"강제, 성관계"
,피해자에게 반복적으로 신체 접촉을 하며 피해자의 인격과 존엄성을 침해한 사실이 인정된다.,,그림,,
,,,,,
72,,싫어하는데도 어깨를 주무르는 등 몸을 만졌다.,,성희롱,"강제, 신체 접촉, 몸"
,피해자인 친족의 동의 없이 피해자의 재산에서 돈을 몰래 가져간 사실이 인정된다.,,그림,,
,,,,친족상도례,
73,,아버지가 잘 때 돈을 몰래 훔쳤다.,,(절도),"재산, 금전"
,,,그림,,
,,,,,"증인, 심문, 상해진단서, 사진"
74,증거 요지,"증인의 이야기, 상해진단서와 사진 등을 확인하였다.",,증거 요지,
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
,,,,증거,
75,증거(진단서),진단서를 확인했다.,,(진단서),"증인, 심문"
,,,그림,,
76,증거(사진),피해 사실이 촬영된 사진을 확인했다.,,증거,"증인, 심문"
,,,,(사진),
,,"피고인으로부터 맞을 때와 그 후에 어떤 일이 있었는지 똑같이 여러 번 말했다. 거의 같은 내용으로 여러번 경찰,검찰,법원에서 각각 말했다.",그림,,
,,,,"일관된 진술(경찰,","진술 일관성, 동일, 피해자, 증인"
77,일관된 진술,,,"검찰, 법원)",
,"(경찰, 검찰, 법원)",,,,
,,,그림,,
,,"피고인으로부터 맞을 때와 그 후에 어떤 일이 있었는지 똑같이 여러 번 말했다. 거의 같은 내용으로 여러번 경찰, 법원에서 각각 말했다.",,일관된 진술,"진술 일관성, 동일, 피해자, 증인"
78,일관된 진술,,,"(경찰, 법원)",
,"(경찰, 법원)",,,,
,,"피고인으로부터 맞을 때와 그 후에 어떤 일이 있었는지 똑같이 여러 번 말했다. 거의 같은 내용으로 여러번 검찰, 법원에서 각각 말했다.",그림,,
,일관된 진술,,,일관된 진술,"진술 일관성, 동일, 피해자, 증인"
79,"(검찰, 법원)",,,"(검찰, 법원)",
,,,그림,,
,사실에 부합하는 진술(판사),판사에게 어떤 일이 있었는지 이야기한 것이 실제 사건 내용과 같다.,,사실에 부합하는 진술 (판사),
80,,,,,-
